gid,time,value,lon,lat
273,2017-03-01 00:00:00-08,38.72761815748566,-118.45299103449923,34.003429618055044
188,2017-03-01 00:00:00-08,40.07474521853606,-118.4520433770559,33.94023038578518
253,2017-03-01 00:00:00-08,38.706578540022036,-118.41270724378344,33.996404468928716
281,2017-03-01 00:00:00-08,39.194788929242634,-118.31052789227303,34.03456318780148
528,2017-03-01 00:00:00-08,38.947791327963316,-118.25475258794081,34.22101148522461
391,2017-03-01 00:00:00-08,39.453568062191906,-118.1329482758672,34.13642742552598
282,2017-03-01 00:00:00-08,38.049628355877935,-118.29271141871675,34.03844138153068
82,2017-03-01 00:00:00-08,38.97505682622452,-118.31270816447545,33.8598003969227
232,2017-03-01 00:00:00-08,39.96928146015045,-118.39023142609992,33.98547252613005
346,2017-03-01 00:00:00-08,38.820095692891535,-118.44924984121444,34.051809932015075
332,2017-03-01 00:00:00-08,39.8246969785168,-118.24854743211291,34.079729662541205
426,2017-03-01 00:00:00-08,40.92536918540264,-118.37419072628325,34.11578297435513
456,2017-03-01 00:00:00-08,39.46217782592652,-118.21827349797995,34.16552088127147
190,2017-03-01 00:00:00-08,39.46348865163112,-118.41646990798903,33.94803052274344
312,2017-03-01 00:00:00-08,39.900044229111565,-118.17257676976844,34.08034397995488
62,2017-03-01 00:00:00-08,39.91813351482585,-118.19678401104763,33.853354748314096
526,2017-03-01 00:00:00-08,40.41240993162201,-118.29047750508269,34.213262373313185
540,2017-03-01 00:00:00-08,40.41240993162201,-118.29514594642751,34.22810032896627
301,2017-03-01 00:00:00-08,38.63734130898314,-118.3686370993336,34.03774005070742
317,2017-03-01 00:00:00-08,39.368745541774835,-118.51578165314399,34.02134968115796
436,2017-03-01 00:00:00-08,40.06556900598914,-118.19577463324555,34.154543757346275
41,2017-03-01 00:00:00-08,39.42741912926914,-118.33428985980667,33.80756216539485
494,2017-03-01 00:00:00-08,40.04747972027486,-118.26329166909416,34.18746131166563
523,2017-03-01 00:00:00-08,39.809767380609046,-118.34405053837908,34.201616120512696
191,2017-03-01 00:00:00-08,40.353793963153855,-118.3986803112172,33.95192609866694
279,2017-03-01 00:00:00-08,39.91515600725667,-118.34615512594625,34.02679779527031
193,2017-03-01 00:00:00-08,39.959360870711244,-118.36309539906671,33.95970826255394
479,2017-03-01 00:00:00-08,38.92434837802249,-118.1693473699599,34.19194471036714
355,2017-03-01 00:00:00-08,40.0674658289191,-118.28886153919233,34.0868190617219
503,2017-03-01 00:00:00-08,39.198510813704104,-118.44644770272583,34.163412725068085
357,2017-03-01 00:00:00-08,40.508994534168856,-118.25319870736432,34.094565827676774
584,2017-03-01 00:00:00-08,40.82748482417928,-118.367463029996,34.2757943163649
13,2017-03-01 00:00:00-08,39.2209378621654,-118.32499283527108,33.77791346539248
333,2017-03-01 00:00:00-08,40.18417711393586,-118.23071656016886,34.08359763861496
465,2017-03-01 00:00:00-08,40.06854651355832,-118.41922509935694,34.13765446000937
23,2017-03-01 00:00:00-08,39.92693753892662,-118.40064662482966,33.77718919572597
292,2017-03-01 00:00:00-08,39.866106514639554,-118.11444221897622,34.07705809067667
582,2017-03-01 00:00:00-08,40.26212968365367,-118.40320287634053,34.26800607488045
466,2017-03-01 00:00:00-08,40.27489502989793,-118.4013891184158,34.14155188571547
237,2017-03-01 00:00:00-08,38.28225855590444,-118.301211509154,34.004899489537614
101,2017-03-01 00:00:00-08,39.45096274306887,-118.22845482522435,33.89398848969933
274,2017-03-01 00:00:00-08,39.31233127600636,-118.43518982666127,34.00733181089519
472,2017-03-01 00:00:00-08,40.484706543476825,-118.29433302160409,34.16487330409562
428,2017-03-01 00:00:00-08,40.66919537157639,-118.33852277623745,34.123559187181954
18,2017-03-01 00:00:00-08,39.34631849331354,-118.23620932103704,33.79727734238042
112,2017-03-01 00:00:00-08,39.87900461164794,-118.28644812222944,33.897210054882365
502,2017-03-01 00:00:00-08,39.33342039630515,-118.46428663645437,34.15950747918201
550,2017-03-01 00:00:00-08,39.8043130525236,-118.38912917990612,34.22350399593241
344,2017-03-01 00:00:00-08,40.15956773895313,-118.48487064286644,34.04399711191628
409,2017-03-01 00:00:00-08,40.09501483020459,-118.24466589565706,34.12810943653066
178,2017-03-01 00:00:00-08,39.91515600725667,-118.26945166284003,33.96427919702157
31,2017-03-01 00:00:00-08,40.11977633212968,-118.25860389032394,33.80823838987908
71,2017-03-01 00:00:00-08,40.639457304956295,-118.27251749389295,33.85272324107709
263,2017-03-01 00:00:00-08,39.42741912926913,-118.23460501157952,34.03522239619377
448,2017-03-01 00:00:00-08,40.64304643865363,-118.36103360069498,34.134505052544256
462,2017-03-01 00:00:00-08,40.430276210813325,-118.47272152960089,34.125944155487694
299,2017-03-01 00:00:00-08,39.12973445653323,-118.40425966407955,34.029954848639974
556,2017-03-01 00:00:00-08,39.66195970099961,-118.28194797759886,34.24681633855624
33,2017-03-01 00:00:00-08,39.819687970048264,-118.22307430074558,33.81597078677733
167,2017-03-01 00:00:00-08,40.023300778649414,-118.12236806702687,33.98032174959493
493,2017-03-01 00:00:00-08,40.11977633212968,-118.28114635702242,34.1835870473878
111,2017-03-01 00:00:00-08,40.24282250981402,-118.30423033394993,33.89333396798922
128,2017-03-01 00:00:00-08,39.194788929242634,-118.27330796678083,33.9159134156729
294,2017-03-01 00:00:00-08,38.52437328517327,-118.49328261061638,34.01043935865933
477,2017-03-01 00:00:00-08,40.06556900598914,-118.20506708069964,34.184225078894485
331,2017-03-01 00:00:00-08,39.39893574288257,-118.26637640242745,34.0758586809797
350,2017-03-01 00:00:00-08,40.134061860135745,-118.37798525805236,34.06739956889323
271,2017-03-01 00:00:00-08,40.02745636115906,-118.48858770846296,33.99561624097468
125,2017-03-01 00:00:00-08,39.20396514178955,-118.32666473746359,33.90428245367606
444,2017-03-01 00:00:00-08,40.0485962856133,-118.43236777143306,34.11892497619802
601,2017-03-01 00:00:00-08,39.81423364196281,-118.4172938855102,34.31250985443079
383,2017-03-01 00:00:00-08,39.8257921671098,-118.27568765204248,34.10552941699798
91,2017-03-01 00:00:00-08,39.94337821763429,-118.40621468620438,33.855191740357185
388,2017-03-01 00:00:00-08,38.73134004194713,-118.18648979153143,34.12486323768787
458,2017-03-01 00:00:00-08,39.2209378621654,-118.18256441081239,34.17324474443475
69,2017-03-01 00:00:00-08,39.20768702625103,-118.30805976522872,33.844973476869086
382,2017-03-01 00:00:00-08,40.06374394445761,-118.29352151360072,34.10165363181427
290,2017-03-01 00:00:00-08,40.192454822080926,-118.15011122523667,34.069358795616004
532,2017-03-01 00:00:00-08,39.20768702625103,-118.43799627682536,34.19697624987788
98,2017-03-01 00:00:00-08,40.00771548927125,-118.28180268592519,33.88238090060526
203,2017-03-01 00:00:00-08,40.06048686634984,-118.18505677226854,33.998439175030605
199,2017-03-01 00:00:00-08,40.11357762715194,-118.25629499846,33.982982809589494
284,2017-03-01 00:00:00-08,39.56972641488365,-118.25707276407636,34.04618876107735
36,2017-03-01 00:00:00-08,39.92693753892662,-118.42305972376509,33.78811454092727
272,2017-03-01 00:00:00-08,40.02745636115906,-118.47079032882455,33.99952442789111
403,2017-03-01 00:00:00-08,40.92680513446458,-118.35168372608388,34.10484031369781
37,2017-03-01 00:00:00-08,39.92693753892662,-118.40530954612028,33.792010041809625
233,2017-03-01 00:00:00-08,40.1289525446766,-118.37243125340065,33.98936391648923
515,2017-03-01 00:00:00-08,40.424935840184254,-118.48682759167012,34.17042705673921
164,2017-03-01 00:00:00-08,40.137865617843964,-118.17579625203773,33.968766371086474
429,2017-03-01 00:00:00-08,40.67837158412332,-118.32068593420583,34.127442785042284
368,2017-03-01 00:00:00-08,39.19851081370411,-118.5429948773838,34.04707730072988
396,2017-03-01 00:00:00-08,38.63738786098121,-118.47645089403755,34.07755630067033
492,2017-03-01 00:00:00-08,39.91813351482585,-118.29899913531945,34.17970977293545
226,2017-03-01 00:00:00-08,39.212878214956916,-118.13623114108056,34.02483932783284
172,2017-03-01 00:00:00-08,39.194788929242634,-118.37622035742616,33.940992068540936
210,2017-03-01 00:00:00-08,39.46348865163112,-118.4211470231513,33.962855533807314
44,2017-03-01 00:00:00-08,39.903292602339974,-118.28100520327187,33.819194868243876
276,2017-03-01 00:00:00-08,39.80772425814095,-118.3995816751494,34.01512720232076
296,2017-03-01 00:00:00-08,39.198510813704104,-118.45767917479822,34.01825454919434
568,2017-03-01 00:00:00-08,38.71474723629711,-118.46995269946453,34.23756285387028
576,2017-03-01 00:00:00-08,40.562690179590334,-118.32703598504335,34.26873268108997
398,2017-03-01 00:00:00-08,39.547487799384314,-118.44081271031467,34.08536674482851
406,2017-03-01 00:00:00-08,41.236884965565814,-118.29818339429399,34.1164884037344
322,2017-03-01 00:00:00-08,38.41760920596503,-118.4267513665194,34.04088469366864
453,2017-03-01 00:00:00-08,40.137865617843964,-118.27182284748869,34.153912508918495
10,2017-03-01 00:00:00-08,40.10791292721298,-118.17829785826353,33.794028566251775
452,2017-03-01 00:00:00-08,41.05715889338204,-118.28966881756368,34.15003703304057
139,2017-03-01 00:00:00-08,39.545402543492415,-118.34910589654785,33.91522635482996
423,2017-03-01 00:00:00-08,40.0485962856133,-118.42767829855113,34.104096120895896
520,2017-03-01 00:00:00-08,39.894589901026116,-118.39760633221857,34.189942779455144
231,2017-03-01 00:00:00-08,39.39273703790483,-118.4080296910992,33.98157813807022
572,2017-03-01 00:00:00-08,40.27205027309288,-118.3985097220985,34.25317185821638
329,2017-03-01 00:00:00-08,39.069055559188506,-118.30202863342451,34.06810770366202
443,2017-03-01 00:00:00-08,40.06556900598914,-118.4501965220536,34.11502244641181
259,2017-03-01 00:00:00-08,38.72761815748566,-118.3058687492404,34.01973123527808
362,2017-03-01 00:00:00-08,39.890868016564646,-118.16400835011714,34.113880124901755
490,2017-03-01 00:00:00-08,39.41702502859686,-118.33469895826104,34.17194619578131
186,2017-03-01 00:00:00-08,39.39273703790483,-118.12698720358736,33.99516073066147
476,2017-03-01 00:00:00-08,40.04944971157219,-118.22292408108787,34.18036074521436
75,2017-03-01 00:00:00-08,39.91193480984811,-118.20141026094612,33.86818684538652
352,2017-03-01 00:00:00-08,39.735465815772116,-118.3423414954069,34.07517637654407
174,2017-03-01 00:00:00-08,40.201034532520545,-118.34063839713835,33.94876643356015
206,2017-03-01 00:00:00-08,39.621645353469866,-118.13160822789476,34.00999992375335
254,2017-03-01 00:00:00-08,39.537567209945095,-118.39490559620374,34.00029976113784
524,2017-03-01 00:00:00-08,39.81237269973208,-118.32619477452354,34.20550121534543
