"","Latitude","Longitude","County","Hour","Season","Pollutant","Sample"
"85",32.579361,-116.929486,"San Diego","11",1,"NO2",0.09
"86",32.579361,-116.929486,"San Diego","11",1,"Ozone",0.606593406593407
"87",32.579361,-116.929486,"San Diego","11",2,"NO2",0.04625
"88",32.579361,-116.929486,"San Diego","11",2,"Ozone",0.702435064935065
"89",32.579361,-116.929486,"San Diego","11",3,"NO2",0.0445054945054945
"90",32.579361,-116.929486,"San Diego","11",3,"Ozone",0.728885400313972
"91",32.579361,-116.929486,"San Diego","11",4,"NO2",0.0881818181818182
"92",32.579361,-116.929486,"San Diego","11",4,"Ozone",0.611960132890365
"93",32.579361,-116.929486,"San Diego","12",1,"NO2",0.0754022988505747
"94",32.579361,-116.929486,"San Diego","12",1,"Ozone",0.657142857142857
"95",32.579361,-116.929486,"San Diego","12",2,"NO2",0.0348837209302326
"96",32.579361,-116.929486,"San Diego","12",2,"Ozone",0.733887043189369
"97",32.579361,-116.929486,"San Diego","12",3,"NO2",0.0344444444444444
"98",32.579361,-116.929486,"San Diego","12",3,"Ozone",0.732222222222222
"99",32.579361,-116.929486,"San Diego","12",4,"NO2",0.0827848101265823
"100",32.579361,-116.929486,"San Diego","12",4,"Ozone",0.628571428571429
"101",32.579361,-116.929486,"San Diego","13",1,"NO2",0.0647674418604651
"102",32.579361,-116.929486,"San Diego","13",1,"Ozone",0.686688311688312
"103",32.579361,-116.929486,"San Diego","13",2,"NO2",0.0330588235294118
"104",32.579361,-116.929486,"San Diego","13",2,"Ozone",0.723193277310924
"105",32.579361,-116.929486,"San Diego","13",3,"NO2",0.0294318181818182
"106",32.579361,-116.929486,"San Diego","13",3,"Ozone",0.712662337662338
"107",32.579361,-116.929486,"San Diego","13",4,"NO2",0.0726315789473684
"108",32.579361,-116.929486,"San Diego","13",4,"Ozone",0.644155844155844
"109",32.579361,-116.929486,"San Diego","14",1,"NO2",0.0621176470588235
"110",32.579361,-116.929486,"San Diego","14",1,"Ozone",0.694252873563218
"111",32.579361,-116.929486,"San Diego","14",2,"NO2",0.0292134831460674
"112",32.579361,-116.929486,"San Diego","14",2,"Ozone",0.703852327447833
"113",32.579361,-116.929486,"San Diego","14",3,"NO2",0.0268131868131868
"114",32.579361,-116.929486,"San Diego","14",3,"Ozone",0.676609105180534
"115",32.579361,-116.929486,"San Diego","14",4,"NO2",0.0693827160493827
"116",32.579361,-116.929486,"San Diego","14",4,"Ozone",0.640659340659341
"117",32.579361,-116.929486,"San Diego","15",1,"NO2",0.0596428571428571
"118",32.579361,-116.929486,"San Diego","15",1,"Ozone",0.674584717607973
"119",32.579361,-116.929486,"San Diego","15",2,"NO2",0.0273863636363636
"120",32.579361,-116.929486,"San Diego","15",2,"Ozone",0.676948051948052
"121",32.579361,-116.929486,"San Diego","15",3,"NO2",0.0232608695652174
"122",32.579361,-116.929486,"San Diego","15",3,"Ozone",0.650706436420722
"123",32.579361,-116.929486,"San Diego","15",4,"NO2",0.0719512195121951
"124",32.579361,-116.929486,"San Diego","15",4,"Ozone",0.618730158730159
"125",32.579361,-116.929486,"San Diego","16",1,"NO2",0.0656179775280899
"126",32.579361,-116.929486,"San Diego","16",1,"Ozone",0.629855537720706
"127",32.579361,-116.929486,"San Diego","16",2,"NO2",0.0235164835164835
"128",32.579361,-116.929486,"San Diego","16",2,"Ozone",0.645996860282575
"129",32.579361,-116.929486,"San Diego","16",3,"NO2",0.0226086956521739
"130",32.579361,-116.929486,"San Diego","16",3,"Ozone",0.611645962732919
"131",32.579361,-116.929486,"San Diego","16",4,"NO2",0.083953488372093
"132",32.579361,-116.929486,"San Diego","16",4,"Ozone",0.56972049689441
"133",32.579361,-116.929486,"San Diego","17",1,"NO2",0.0642857142857143
