"","Latitude","Longitude","County","Hour","Weekend_day","Pollutant","Sample"
"72",32.579361,-116.929486,"San Diego","17","weekend","Ozone",0.589972527472527
"73",32.579361,-116.929486,"San Diego","18","weekday","NO2",0.0682239382239382
"74",32.579361,-116.929486,"San Diego","18","weekday","Ozone",0.510454296661193
"75",32.579361,-116.929486,"San Diego","18","weekend","NO2",0.0514563106796116
"76",32.579361,-116.929486,"San Diego","18","weekend","Ozone",0.534149659863946
"77",32.579361,-116.929486,"San Diego","19","weekday","NO2",0.0886872586872587
"78",32.579361,-116.929486,"San Diego","19","weekday","Ozone",0.453420908593322
"79",32.579361,-116.929486,"San Diego","19","weekend","NO2",0.057378640776699
"80",32.579361,-116.929486,"San Diego","19","weekend","Ozone",0.497278911564626
"81",32.579361,-116.929486,"San Diego","20","weekday","NO2",0.102702702702703
"82",32.579361,-116.929486,"San Diego","20","weekday","Ozone",0.417788724685276
"83",32.579361,-116.929486,"San Diego","20","weekend","NO2",0.0641747572815534
"84",32.579361,-116.929486,"San Diego","20","weekend","Ozone",0.461496598639456
"85",32.579361,-116.929486,"San Diego","21","weekday","NO2",0.102779922779923
"86",32.579361,-116.929486,"San Diego","21","weekday","Ozone",0.398248494800219
"87",32.579361,-116.929486,"San Diego","21","weekend","NO2",0.0714563106796117
"88",32.579361,-116.929486,"San Diego","21","weekend","Ozone",0.434421768707483
"89",32.579361,-116.929486,"San Diego","22","weekday","NO2",0.100926640926641
"90",32.579361,-116.929486,"San Diego","22","weekday","Ozone",0.386754241926656
"91",32.579361,-116.929486,"San Diego","22","weekend","NO2",0.0696116504854369
"92",32.579361,-116.929486,"San Diego","22","weekend","Ozone",0.424625850340136
"93",32.579361,-116.929486,"San Diego","23","weekday","NO2",0.0950965250965251
"94",32.579361,-116.929486,"San Diego","23","weekday","Ozone",0.378379857690202
"95",32.579361,-116.929486,"San Diego","23","weekend","NO2",0.0742718446601942
"96",32.579361,-116.929486,"San Diego","23","weekend","Ozone",0.408163265306122
"97",32.631231,-117.059075,"San Diego","00","weekday","NO2",0.104615384615385
"98",32.631231,-117.059075,"San Diego","00","weekday","Ozone",0.300492610837438
"99",32.631231,-117.059075,"San Diego","00","weekend","NO2",0.111904761904762
"100",32.631231,-117.059075,"San Diego","00","weekend","Ozone",0.29265306122449
"101",32.631231,-117.059075,"San Diego","01","weekday","NO2",0.0861313868613139
"102",32.631231,-117.059075,"San Diego","01","weekday","Ozone",0.311887382690302
"103",32.631231,-117.059075,"San Diego","01","weekend","NO2",0.110377358490566
"104",32.631231,-117.059075,"San Diego","01","weekend","Ozone",0.282749326145553
"105",32.631231,-117.059075,"San Diego","02","weekday","NO2",0.0683333333333333
"106",32.631231,-117.059075,"San Diego","02","weekday","Ozone",0.274725274725275
"107",32.631231,-117.059075,"San Diego","02","weekend","NO2",0.064
"108",32.631231,-117.059075,"San Diego","02","weekend","Ozone",0.288571428571429
"109",32.631231,-117.059075,"San Diego","03","weekday","NO2",0.0878832116788321
"110",32.631231,-117.059075,"San Diego","03","weekday","Ozone",0.28310740354536
"111",32.631231,-117.059075,"San Diego","03","weekend","NO2",0.09125
"112",32.631231,-117.059075,"San Diego","03","weekend","Ozone",0.280102040816327
"113",32.631231,-117.059075,"San Diego","04","weekday","NO2",0.101264367816092
"114",32.631231,-117.059075,"San Diego","04","weekday","Ozone",0.267542419266557
"115",32.631231,-117.059075,"San Diego","04","weekend","NO2",0.0881904761904762
"116",32.631231,-117.059075,"San Diego","04","weekend","Ozone",0.279455782312925
"117",32.631231,-117.059075,"San Diego","05","weekday","NO2",0.127394636015326
"118",32.631231,-117.059075,"San Diego","05","weekday","Ozone",0.236343732895457
"119",32.631231,-117.059075,"San Diego","05","weekend","NO2",0.0938095238095238
"120",32.631231,-117.059075,"San Diego","05","weekend","Ozone",0.271972789115646
"121",32.631231,-117.059075,"San Diego","06","weekday","NO2",0.146563706563707
"122",32.631231,-117.059075,"San Diego","06","weekday","Ozone",0.226428571428571
"123",32.631231,-117.059075,"San Diego","06","weekend","NO2",0.103333333333333
"124",32.631231,-117.059075,"San Diego","06","weekend","Ozone",0.271428571428571
"125",32.631231,-117.059075,"San Diego","07","weekday","NO2",0.140313725490196
"126",32.631231,-117.059075,"San Diego","07","weekday","Ozone",0.26514730405781
"127",32.631231,-117.059075,"San Diego","07","weekend","NO2",0.0934285714285714
"128",32.631231,-117.059075,"San Diego","07","weekend","Ozone",0.32421768707483
"129",32.631231,-117.059075,"San Diego","08","weekday","NO2",0.124672131147541
"130",32.631231,-117.059075,"San Diego","08","weekday","Ozone",0.339328400682982
"131",32.631231,-117.059075,"San Diego","08","weekend","NO2",0.0840196078431373
"132",32.631231,-117.059075,"San Diego","08","weekend","Ozone",0.399439775910364
"133",32.631231,-117.059075,"San Diego","09","weekday","NO2",0.104248927038627
"134",32.631231,-117.059075,"San Diego","09","weekday","Ozone",0.431475992886781
"135",32.631231,-117.059075,"San Diego","09","weekend","NO2",0.0673076923076923
"136",32.631231,-117.059075,"San Diego","09","weekend","Ozone",0.482005494505494
"137",32.631231,-117.059075,"San Diego","10","weekday","NO2",0.0776315789473684
"138",32.631231,-117.059075,"San Diego","10","weekday","Ozone",0.517249555423829
"139",32.631231,-117.059075,"San Diego","10","weekend","NO2",0.0553333333333333
"140",32.631231,-117.059075,"San Diego","10","weekend","Ozone",0.54734693877551
"141",32.631231,-117.059075,"San Diego","11","weekday","NO2",0.0615217391304348
"142",32.631231,-117.059075,"San Diego","11","weekday","Ozone",0.565643447461629
"143",32.631231,-117.059075,"San Diego","11","weekend","NO2",0.0443809523809524
"144",32.631231,-117.059075,"San Diego","11","weekend","Ozone",0.590884353741497
"145",32.631231,-117.059075,"San Diego","12","weekday","NO2",0.0502916666666667
"146",32.631231,-117.059075,"San Diego","12","weekday","Ozone",0.590185830429733
"147",32.631231,-117.059075,"San Diego","12","weekend","NO2",0.0333333333333333
"148",32.631231,-117.059075,"San Diego","12","weekend","Ozone",0.61578231292517
"149",32.631231,-117.059075,"San Diego","13","weekday","NO2",0.0433603238866397
"150",32.631231,-117.059075,"San Diego","13","weekday","Ozone",0.598242630385487
"151",32.631231,-117.059075,"San Diego","13","weekend","NO2",0.0265714285714286
"152",32.631231,-117.059075,"San Diego","13","weekend","Ozone",0.616462585034014
"153",32.631231,-117.059075,"San Diego","14","weekday","NO2",0.0440551181102362
"154",32.631231,-117.059075,"San Diego","14","weekday","Ozone",0.585435267857143
"155",32.631231,-117.059075,"San Diego","14","weekend","NO2",0.0264761904761905
"156",32.631231,-117.059075,"San Diego","14","weekend","Ozone",0.607482993197279
"157",32.631231,-117.059075,"San Diego","15","weekday","NO2",0.0473846153846154
"158",32.631231,-117.059075,"San Diego","15","weekday","Ozone",0.566428571428571
"159",32.631231,-117.059075,"San Diego","15","weekend","NO2",0.0284761904761905
"160",32.631231,-117.059075,"San Diego","15","weekend","Ozone",0.590884353741497
"161",32.631231,-117.059075,"San Diego","16","weekday","NO2",0.0579693486590038
"162",32.631231,-117.059075,"San Diego","16","weekday","Ozone",0.536234263820471
"163",32.631231,-117.059075,"San Diego","16","weekend","NO2",0.0379047619047619
"164",32.631231,-117.059075,"San Diego","16","weekend","Ozone",0.563537414965986
"165",32.631231,-117.059075,"San Diego","17","weekday","NO2",0.0771264367816092
"166",32.631231,-117.059075,"San Diego","17","weekday","Ozone",0.488779419813903
"167",32.631231,-117.059075,"San Diego","17","weekend","NO2",0.0517142857142857
"168",32.631231,-117.059075,"San Diego","17","weekend","Ozone",0.521496598639456
"169",32.631231,-117.059075,"San Diego","18","weekday","NO2",0.101226053639847
"170",32.631231,-117.059075,"San Diego","18","weekday","Ozone",0.42824302134647
"171",32.631231,-117.059075,"San Diego","18","weekend","NO2",0.0703809523809524
"172",32.631231,-117.059075,"San Diego","18","weekend","Ozone",0.466938775510204
"173",32.631231,-117.059075,"San Diego","19","weekday","NO2",0.125708812260536
"174",32.631231,-117.059075,"San Diego","19","weekday","Ozone",0.370060207991242
"175",32.631231,-117.059075,"San Diego","19","weekend","NO2",0.0919047619047619
"176",32.631231,-117.059075,"San Diego","19","weekend","Ozone",0.408979591836735
"177",32.631231,-117.059075,"San Diego","20","weekday","NO2",0.131877394636015
"178",32.631231,-117.059075,"San Diego","20","weekday","Ozone",0.340284619594964
"179",32.631231,-117.059075,"San Diego","20","weekend","NO2",0.103047619047619
"180",32.631231,-117.059075,"San Diego","20","weekend","Ozone",0.370884353741497
"181",32.631231,-117.059075,"San Diego","21","weekday","NO2",0.136666666666667
"182",32.631231,-117.059075,"San Diego","21","weekday","Ozone",0.313902572523262
"183",32.631231,-117.059075,"San Diego","21","weekend","NO2",0.107809523809524
"184",32.631231,-117.059075,"San Diego","21","weekend","Ozone",0.346394557823129
"185",32.631231,-117.059075,"San Diego","22","weekday","NO2",0.132413793103448
"186",32.631231,-117.059075,"San Diego","22","weekday","Ozone",0.299288451012589
"187",32.631231,-117.059075,"San Diego","22","weekend","NO2",0.107333333333333
