"","County","Pollutant","Dayofweek","Hour","Sample"
"123","Alameda","CO","Fri","02",0.0107306434023991
"124","Alameda","CO","Fri","03",0.0154945054945055
"125","Alameda","CO","Fri","04",0.0122336227308603
"126","Alameda","CO","Fri","05",0.0135792778649922
"127","Alameda","CO","Fri","06",0.0148888888888889
"128","Alameda","CO","Fri","07",0.0155918367346939
"129","Alameda","CO","Fri","08",0.0150837988826816
"130","Alameda","CO","Fri","09",0.0137174427782163
"131","Alameda","CO","Fri","10",0.0124434035909446
"132","Alameda","CO","Fri","11",0.011928181108509
"133","Alameda","CO","Fri","12",0.01138147566719
"134","Alameda","CO","Fri","13",0.0111943793911007
"135","Alameda","CO","Fri","14",0.0111490683229814
"136","Alameda","CO","Fri","15",0.0113817330210773
"137","Alameda","CO","Fri","16",0.0114597970335675
"138","Alameda","CO","Fri","17",0.0118345042935207
"139","Alameda","CO","Fri","18",0.0121978021978022
"140","Alameda","CO","Fri","19",0.012574568288854
"141","Alameda","CO","Fri","20",0.0123341139734582
"142","Alameda","CO","Fri","21",0.0125274725274725
"143","Alameda","CO","Fri","22",0.0123547880690738
"144","Alameda","CO","Fri","23",0.0119309262166405
"145","Alameda","CO","Sat","00",0.0115227629513344
"146","Alameda","CO","Sat","01",0.0112391475927388
"147","Alameda","CO","Sat","02",0.0102857142857143
"148","Alameda","CO","Sat","03",0.0143956043956044
"149","Alameda","CO","Sat","04",0.010392464678179
"150","Alameda","CO","Sat","05",0.0113812154696133
"151","Alameda","CO","Sat","06",0.0125808997632202
"152","Alameda","CO","Sat","07",0.0130386740331492
"153","Alameda","CO","Sat","08",0.01287284144427
"154","Alameda","CO","Sat","09",0.0117896389324961
"155","Alameda","CO","Sat","10",0.0114285714285714
"156","Alameda","CO","Sat","11",0.0111616954474097
"157","Alameda","CO","Sat","12",0.0108791208791209
"158","Alameda","CO","Sat","13",0.0107460317460317
"159","Alameda","CO","Sat","14",0.0108095238095238
