County,Month,Dayofweek,Pollutant,Sample,Latitude,Longitude
Alameda,4,Sun,Ozone,0.502857143,37.687526,-121.784217
Alameda,4,Sun,SO2,0.010772727,37.814781,-122.282347
Alameda,4,Mon,CO,0.010623276,37.743065,-122.169935
Alameda,4,Mon,NO2,0.104467849,37.687526,-121.784217
Alameda,4,Mon,Ozone,0.492888471,37.687526,-121.784217
Alameda,4,Mon,SO2,0.012643678,37.814781,-122.282347
Alameda,4,Tues,CO,0.011631889,37.743065,-122.169935
Alameda,4,Tues,NO2,0.124864679,37.687526,-121.784217
Alameda,4,Tues,Ozone,0.490726817,37.687526,-121.784217
Alameda,4,Tues,SO2,0.016873016,37.814781,-122.282347
Alameda,4,Wed,CO,0.011513542,37.743065,-122.169935
Alameda,4,Wed,NO2,0.103858108,37.687526,-121.784217
Alameda,4,Wed,Ozone,0.525555556,37.687526,-121.784217
Alameda,4,Wed,SO2,0.014878788,37.814781,-122.282347
Alameda,4,Thurs,CO,0.010208551,37.743065,-122.169935
Alameda,4,Thurs,NO2,0.073371179,37.687526,-121.784217
Alameda,4,Thurs,Ozone,0.49673913,37.687526,-121.784217
Alameda,4,Thurs,SO2,0.011545455,37.814781,-122.282347
Alameda,4,Fri,CO,0.009685798,37.743065,-122.169935
Alameda,4,Fri,NO2,0.069691769,37.687526,-121.784217
Alameda,4,Fri,Ozone,0.495537273,37.687526,-121.784217
Alameda,4,Fri,SO2,0.009444444,37.814781,-122.282347
Alameda,4,Sat,CO,0.010418219,37.743065,-122.169935
Alameda,4,Sat,NO2,0.073629565,37.687526,-121.784217
Alameda,4,Sat,Ozone,0.472621118,37.687526,-121.784217
Alameda,4,Sat,SO2,0.01070303,37.814781,-122.282347
Alameda,5,Sun,CO,0.008745342,37.743065,-122.169935
Alameda,5,Sun,NO2,0.053552632,37.687526,-121.784217
Alameda,5,Sun,Ozone,0.454235589,37.687526,-121.784217
Alameda,5,Sun,SO2,0.0096,37.814781,-122.282347
Alameda,5,Mon,CO,0.008722245,37.743065,-122.169935
Alameda,5,Mon,NO2,0.06914711,37.687526,-121.784217
Alameda,5,Mon,Ozone,0.429246935,37.687526,-121.784217
Alameda,5,Mon,SO2,0.008957576,37.814781,-122.282347
Alameda,5,Tues,CO,0.009352941,37.743065,-122.169935
Alameda,5,Tues,NO2,0.093636204,37.687526,-121.784217
