County,Hour,Pollutant,Sample,Latitude,Longitude
Contra Costa,4,NO2,0.064207262,37.936013,-122.026154
Contra Costa,4,Ozone,0.235584808,37.936013,-122.026154
Contra Costa,4,SO2,0.017210555,37.936013,-122.026154
Contra Costa,5,CO,0.009469237,37.936013,-122.026154
Contra Costa,5,NO2,0.078003776,37.936013,-122.026154
Contra Costa,5,Ozone,0.219004525,37.936013,-122.026154
Contra Costa,5,SO2,0.014720123,37.936013,-122.026154
Contra Costa,6,CO,0.010323774,37.936013,-122.026154
Contra Costa,6,NO2,0.085811036,37.936013,-122.026154
Contra Costa,6,Ozone,0.220685197,37.936013,-122.026154
Contra Costa,6,SO2,0.014661747,37.936013,-122.026154
Contra Costa,7,CO,0.01077551,37.936013,-122.026154
Contra Costa,7,NO2,0.083506015,37.936013,-122.026154
Contra Costa,7,Ozone,0.248388829,37.936013,-122.026154
Contra Costa,7,SO2,0.015623537,37.936013,-122.026154
Contra Costa,8,CO,0.010201058,37.936013,-122.026154
Contra Costa,8,NO2,0.072099924,37.936013,-122.026154
Contra Costa,8,Ozone,0.298833819,37.936013,-122.026154
Contra Costa,8,SO2,0.01664186,37.936013,-122.026154
Contra Costa,9,CO,0.00948317,37.936013,-122.026154
Contra Costa,9,NO2,0.061379545,37.936013,-122.026154
Contra Costa,9,Ozone,0.35797556,37.936013,-122.026154
Contra Costa,9,SO2,0.017422428,37.936013,-122.026154
Contra Costa,10,CO,0.008955738,37.936013,-122.026154
Contra Costa,10,NO2,0.053384207,37.936013,-122.026154
Contra Costa,10,Ozone,0.417857143,37.936013,-122.026154
Contra Costa,10,SO2,0.018066111,37.936013,-122.026154
Contra Costa,11,CO,0.008761905,37.936013,-122.026154
Contra Costa,11,NO2,0.048404094,37.936013,-122.026154
Contra Costa,11,Ozone,0.470683511,37.936013,-122.026154
Contra Costa,11,SO2,0.018687645,37.936013,-122.026154
Contra Costa,12,CO,0.008523941,37.936013,-122.026154
Contra Costa,12,NO2,0.043571104,37.936013,-122.026154
Contra Costa,12,Ozone,0.512947777,37.936013,-122.026154
Contra Costa,12,SO2,0.018558742,37.936013,-122.026154
Contra Costa,13,CO,0.008371481,37.936013,-122.026154
Contra Costa,13,NO2,0.040714178,37.936013,-122.026154
Contra Costa,13,Ozone,0.538166954,37.936013,-122.026154
Contra Costa,13,SO2,0.018560271,37.936013,-122.026154
Contra Costa,14,CO,0.008372398,37.936013,-122.026154
Contra Costa,14,NO2,0.039530781,37.936013,-122.026154
Contra Costa,14,Ozone,0.543220974,37.936013,-122.026154
Contra Costa,14,SO2,0.017844455,37.936013,-122.026154
Contra Costa,15,CO,0.00840921,37.936013,-122.026154
Contra Costa,15,NO2,0.040552474,37.936013,-122.026154
Contra Costa,15,Ozone,0.53034645,37.936013,-122.026154
Contra Costa,15,SO2,0.01735476,37.936013,-122.026154
Contra Costa,16,CO,0.008639394,37.936013,-122.026154
Contra Costa,16,NO2,0.045961798,37.936013,-122.026154
Contra Costa,16,Ozone,0.498450689,37.936013,-122.026154
Contra Costa,16,SO2,0.016900107,37.936013,-122.026154
Contra Costa,17,CO,0.009287675,37.936013,-122.026154
Contra Costa,17,NO2,0.059411985,37.936013,-122.026154
Contra Costa,17,Ozone,0.443263169,37.936013,-122.026154
Contra Costa,17,SO2,0.016363358,37.936013,-122.026154
Contra Costa,18,CO,0.009810482,37.936013,-122.026154
Contra Costa,18,NO2,0.070882397,37.936013,-122.026154
Contra Costa,18,Ozone,0.388609894,37.936013,-122.026154
Contra Costa,18,SO2,0.015804444,37.936013,-122.026154
Contra Costa,19,CO,0.009975167,37.936013,-122.026154
Contra Costa,19,NO2,0.075587266,37.936013,-122.026154
Contra Costa,19,Ozone,0.346660968,37.936013,-122.026154
Contra Costa,19,SO2,0.015089236,37.936013,-122.026154
Contra Costa,20,CO,0.009907202,37.936013,-122.026154
Contra Costa,20,NO2,0.075307116,37.936013,-122.026154
Contra Costa,20,Ozone,0.321252271,37.936013,-122.026154
Contra Costa,20,SO2,0.014931738,37.936013,-122.026154
Contra Costa,21,CO,0.009911041,37.936013,-122.026154
Contra Costa,21,NO2,0.073894303,37.936013,-122.026154
Contra Costa,21,Ozone,0.302170659,37.936013,-122.026154
Contra Costa,21,SO2,0.014453751,37.936013,-122.026154
Contra Costa,22,CO,0.009580447,37.936013,-122.026154
Contra Costa,22,NO2,0.069050187,37.936013,-122.026154
Contra Costa,22,Ozone,0.29348221,37.936013,-122.026154
Contra Costa,22,SO2,0.013867525,37.936013,-122.026154
Contra Costa,23,CO,0.009248464,37.936013,-122.026154
Contra Costa,23,NO2,0.064194757,37.936013,-122.026154
Contra Costa,23,Ozone,0.285297263,37.936013,-122.026154
Contra Costa,23,SO2,0.013378064,37.936013,-122.026154
Fresno,0,CO,0.009081807,36.785322,-119.774174
Fresno,0,NO2,0.103177387,36.705506,-119.741966
Fresno,0,Ozone,0.295296721,36.705506,-119.741966
Fresno,0,SO2,0.003757576,36.785322,-119.774174
Fresno,1,CO,0.008614616,36.785322,-119.774174
Fresno,1,NO2,0.098498494,36.705506,-119.741966
Fresno,1,Ozone,0.259584128,36.705506,-119.741966
Fresno,1,SO2,0.003164835,36.785322,-119.774174
Fresno,2,CO,0.008294217,36.785322,-119.774174
Fresno,2,NO2,0.097099849,36.705506,-119.741966
Fresno,2,Ozone,0.252689873,36.705506,-119.741966
Fresno,2,SO2,0.003088319,36.785322,-119.774174
Fresno,3,CO,0.0062202,36.785322,-119.774174
Fresno,3,NO2,0.09990367,36.705506,-119.741966
Fresno,3,Ozone,0.272648959,36.705506,-119.741966
Fresno,3,SO2,0.002735043,36.785322,-119.774174
Fresno,4,CO,0.008837502,36.785322,-119.774174
Fresno,4,NO2,0.1154,36.705506,-119.741966
Fresno,4,Ozone,0.211882918,36.705506,-119.741966
Fresno,4,SO2,0.002456722,36.785322,-119.774174
Fresno,5,CO,0.008750245,36.785322,-119.774174
Fresno,5,NO2,0.123521287,36.705506,-119.741966
Fresno,5,Ozone,0.18700629,36.705506,-119.741966
Fresno,5,SO2,0.002831956,36.785322,-119.774174
Fresno,6,CO,0.009760127,36.785322,-119.774174
Fresno,6,NO2,0.125074715,36.705506,-119.741966
Fresno,6,Ozone,0.209461451,36.705506,-119.741966
Fresno,6,SO2,0.005157025,36.785322,-119.774174
Fresno,7,CO,0.009853333,36.785322,-119.774174
Fresno,7,NO2,0.116674465,36.705506,-119.741966
Fresno,7,Ozone,0.284100371,36.705506,-119.741966
Fresno,7,SO2,0.008051565,36.785322,-119.774174
Fresno,8,CO,0.008764401,36.785322,-119.774174
Fresno,8,NO2,0.105530373,36.705506,-119.741966
Fresno,8,Ozone,0.384656945,36.705506,-119.741966
Fresno,8,SO2,0.00889013,36.785322,-119.774174
Fresno,9,CO,0.007751671,36.785322,-119.774174
Fresno,9,NO2,0.09605432,36.705506,-119.741966
Fresno,9,Ozone,0.489915622,36.705506,-119.741966
Fresno,9,SO2,0.008998117,36.785322,-119.774174
Fresno,10,CO,0.007226195,36.785322,-119.774174
Fresno,10,NO2,0.089187663,36.705506,-119.741966
Fresno,10,Ozone,0.58313933,36.705506,-119.741966
Fresno,10,SO2,0.009670455,36.785322,-119.774174
Fresno,11,CO,0.006914258,36.785322,-119.774174
Fresno,11,NO2,0.081881675,36.705506,-119.741966
Fresno,11,Ozone,0.662000705,36.705506,-119.741966
Fresno,11,SO2,0.009683616,36.785322,-119.774174
Fresno,12,CO,0.006694448,36.785322,-119.774174
Fresno,12,NO2,0.075422071,36.705506,-119.741966
Fresno,12,Ozone,0.713993334,36.705506,-119.741966
Fresno,12,SO2,0.008797753,36.785322,-119.774174
Fresno,13,CO,0.006553294,36.785322,-119.774174
Fresno,13,NO2,0.072849869,36.705506,-119.741966
Fresno,13,Ozone,0.742704793,36.705506,-119.741966
Fresno,13,SO2,0.008405959,36.785322,-119.774174
Fresno,14,CO,0.006469341,36.785322,-119.774174
Fresno,14,NO2,0.071955115,36.705506,-119.741966
Fresno,14,Ozone,0.756590049,36.705506,-119.741966
Fresno,14,SO2,0.007888889,36.785322,-119.774174
Fresno,15,CO,0.006442871,36.785322,-119.774174
Fresno,15,NO2,0.073438606,36.705506,-119.741966
Fresno,15,Ozone,0.756122861,36.705506,-119.741966
Fresno,15,SO2,0.007346479,36.785322,-119.774174
Fresno,16,CO,0.006809488,36.785322,-119.774174
Fresno,16,NO2,0.079991765,36.705506,-119.741966
Fresno,16,Ozone,0.727626636,36.705506,-119.741966
Fresno,16,SO2,0.006734082,36.785322,-119.774174
Fresno,17,CO,0.00787906,36.785322,-119.774174
Fresno,17,NO2,0.101868149,36.705506,-119.741966
Fresno,17,Ozone,0.652222787,36.705506,-119.741966
Fresno,17,SO2,0.006152433,36.785322,-119.774174
Fresno,18,CO,0.009084502,36.785322,-119.774174
Fresno,18,NO2,0.12932981,36.705506,-119.741966
Fresno,18,Ozone,0.56310088,36.705506,-119.741966
Fresno,18,SO2,0.005835165,36.785322,-119.774174
Fresno,19,CO,0.010011344,36.785322,-119.774174
Fresno,19,NO2,0.143678143,36.705506,-119.741966
Fresno,19,Ozone,0.481022021,36.705506,-119.741966
Fresno,19,SO2,0.005952381,36.785322,-119.774174
Fresno,20,CO,0.010523474,36.785322,-119.774174
Fresno,20,NO2,0.143577472,36.705506,-119.741966
Fresno,20,Ozone,0.421784584,36.705506,-119.741966
