"","County","Dayofweek","Pollutant","Sample","Latitude","Longitude"
"38","Butte","Wed","CO",0.00682073112073112,39.761538,-121.84162
"39","Butte","Wed","NO2",0.0642779177162049,39.761538,-121.84162
"40","Butte","Wed","Ozone",0.482881152460984,39.714041,-121.618836
"41","Butte","Thurs","CO",0.0070161824729892,39.761538,-121.84162
"42","Butte","Thurs","NO2",0.0650368818105616,39.761538,-121.84162
"43","Butte","Thurs","Ozone",0.481098072087175,39.714041,-121.618836
"44","Butte","Fri","CO",0.00725832544938505,39.761538,-121.84162
"45","Butte","Fri","NO2",0.0638992568125516,39.761538,-121.84162
"46","Butte","Fri","Ozone",0.482768959435626,39.714041,-121.618836
"47","Butte","Sat","CO",0.00671522479164221,39.761538,-121.84162
"48","Butte","Sat","NO2",0.0539458572600492,39.761538,-121.84162
"49","Butte","Sat","Ozone",0.481546883277415,39.714041,-121.618836
"50","Contra Costa","Sun","CO",0.00906685906685907,37.936013,-122.026154
"51","Contra Costa","Sun","NO2",0.0464983856088561,37.936013,-122.026154
"52","Contra Costa","Sun","Ozone",0.388552420279881,37.936013,-122.026154
"53","Contra Costa","Sun","SO2",0.0151494684177611,37.936013,-122.026154
"54","Contra Costa","Mon","CO",0.00935651752935006,37.936013,-122.026154
"55","Contra Costa","Mon","NO2",0.0613243181297273,37.936013,-122.026154
"56","Contra Costa","Mon","Ozone",0.36472089522937,37.936013,-122.026154
"57","Contra Costa","Mon","SO2",0.0155964277093893,37.936013,-122.026154
"58","Contra Costa","Tues","CO",0.00926719278466742,37.936013,-122.026154
"59","Contra Costa","Tues","NO2",0.0681742424242424,37.936013,-122.026154
"60","Contra Costa","Tues","Ozone",0.353271212021786,37.936013,-122.026154
"61","Contra Costa","Tues","SO2",0.0164236020649395,37.936013,-122.026154
"62","Contra Costa","Wed","CO",0.00919001857385125,37.936013,-122.026154
"63","Contra Costa","Wed","NO2",0.0678127005960569,37.936013,-122.026154
"64","Contra Costa","Wed","Ozone",0.345991990546218,37.936013,-122.026154
"65","Contra Costa","Wed","SO2",0.0163146435452794,37.936013,-122.026154
"66","Contra Costa","Thurs","CO",0.00938268618200879,37.936013,-122.026154
"67","Contra Costa","Thurs","NO2",0.0672576036866359,37.936013,-122.026154
"68","Contra Costa","Thurs","Ozone",0.338960739030023,37.936013,-122.026154
"69","Contra Costa","Thurs","SO2",0.0161176752431604,37.936013,-122.026154
"70","Contra Costa","Fri","CO",0.00944181127345372,37.936013,-122.026154
"71","Contra Costa","Fri","NO2",0.0665731734901606,37.936013,-122.026154
"72","Contra Costa","Fri","Ozone",0.353693693693694,37.936013,-122.026154
"73","Contra Costa","Fri","SO2",0.0157164158109439,37.936013,-122.026154
"74","Contra Costa","Sat","CO",0.00906241407753643,37.936013,-122.026154
"75","Contra Costa","Sat","NO2",0.053291856232939,37.936013,-122.026154
"76","Contra Costa","Sat","Ozone",0.377388493859082,37.936013,-122.026154
"77","Contra Costa","Sat","SO2",0.0157002963172005,37.936013,-122.026154
"78","Fresno","Sun","CO",0.0080162664232128,36.785322,-119.774174
"79","Fresno","Sun","NO2",0.0798724513987672,36.705506,-119.741966
"80","Fresno","Sun","Ozone",0.472197628595733,36.705506,-119.741966
"81","Fresno","Sun","SO2",0.00573956594323873,36.785322,-119.774174
