County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,3,Ozone,0.355880114,37.687526,-121.784217
Contra Costa,3,Ozone,0.382175949,37.936013,-122.026154
Fresno,3,Ozone,0.64628406,36.705506,-119.741966
Humboldt,3,Ozone,0.264562515,40.776944,-124.1775
Imperial,3,Ozone,0.470782569,32.676186,-115.484144
Los Angeles,3,Ozone,0.490715583,34.1365,-117.92391
Orange,3,Ozone,0.476109677,33.83062,-117.93845
Riverside,3,Ozone,0.59205731,33.7411,-115.8206
Sacramento,3,Ozone,0.489041746,38.71209,-121.38109
San Bernardino,3,Ozone,0.704012027,34.895007,-117.024484
San Diego,3,Ozone,0.52094201,32.631231,-117.059075
Santa Barbara,3,Ozone,0.404319994,34.46245,-120.02551
Santa Clara,3,Ozone,0.353453718,36.999571,-121.574684
Solano,3,Ozone,0.384467459,38.102507,-122.237976
