County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,2,Ozone,0.458348839,37.687526,-121.784217
Contra Costa,2,Ozone,0.451514158,37.936013,-122.026154
Fresno,2,Ozone,0.584123003,36.705506,-119.741966
Humboldt,2,Ozone,0.406420823,40.776944,-124.1775
Imperial,2,Ozone,0.542220531,32.676186,-115.484144
Los Angeles,2,Ozone,0.515182447,34.1365,-117.92391
Orange,2,Ozone,0.526685239,33.83062,-117.93845
Riverside,2,Ozone,0.635994108,33.7411,-115.8206
Sacramento,2,Ozone,0.48761649,38.71209,-121.38109
San Bernardino,2,Ozone,0.666110981,34.895007,-117.024484
San Diego,2,Ozone,0.554579284,32.631231,-117.059075
Santa Barbara,2,Ozone,0.463003931,34.46245,-120.02551
Santa Clara,2,Ozone,0.418008195,36.999571,-121.574684
Solano,2,Ozone,0.454369241,38.102507,-122.237976
