County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,1,Ozone,0.319046473,37.687526,-121.784217
Contra Costa,1,Ozone,0.309824885,37.936013,-122.026154
Fresno,1,Ozone,0.314403404,36.705506,-119.741966
Humboldt,1,Ozone,0.39515616,40.776944,-124.1775
Imperial,1,Ozone,0.368807897,32.676186,-115.484144
Los Angeles,1,Ozone,0.353299966,34.1365,-117.92391
Orange,1,Ozone,0.369523456,33.83062,-117.93845
Riverside,1,Ozone,0.456617871,33.7411,-115.8206
Sacramento,1,Ozone,0.306687648,38.71209,-121.38109
San Bernardino,1,Ozone,0.434602806,34.895007,-117.024484
San Diego,1,Ozone,0.46220464,32.631231,-117.059075
Santa Barbara,1,Ozone,0.43642085,34.46245,-120.02551
Santa Clara,1,Ozone,0.272244279,37.348497,-121.894898
Solano,1,Ozone,0.298388677,38.102507,-122.237976
