County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,4,SO2,0.010268437,37.814781,-122.282347
Contra Costa,4,SO2,0.016411336,37.936013,-122.026154
Fresno,4,SO2,0.003675254,36.785322,-119.774174
Humboldt,4,SO2,0.002067818,40.776944,-124.1775
Imperial,4,SO2,0.007116382,32.676186,-115.484144
Los Angeles,4,SO2,0.009315035,34.06659,-118.22688
Orange,4,SO2,0.002336391,33.67464,-117.92568
Riverside,4,SO2,0.003509365,33.99958,-117.41601
Sacramento,4,SO2,0.026374528,38.613779,-121.368014
San Bernardino,4,SO2,0.009642797,34.510014,-117.331433
San Diego,4,SO2,0.001308176,32.789561,-116.944222
Santa Barbara,4,SO2,0.000220196,34.46245,-120.02551
Santa Clara,4,SO2,0.002596643,37.348497,-121.894898
Solano,4,SO2,0.012756972,38.102507,-122.237976
