County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,4,CO,0.015487818,37.743065,-122.169935
Contra Costa,4,CO,0.010382758,37.936013,-122.026154
Fresno,4,CO,0.009849395,36.785322,-119.774174
Humboldt,4,CO,0.00821356,40.776944,-124.1775
Imperial,4,CO,0.007656303,32.676186,-115.484144
Los Angeles,4,CO,0.013333263,34.1365,-117.92391
Orange,4,CO,0.015810924,33.83062,-117.93845
Riverside,4,CO,0.009324072,33.85275,-116.54101
Sacramento,4,CO,0.012455979,38.71209,-121.38109
San Bernardino,4,CO,0.012621475,34.895007,-117.024484
San Diego,4,CO,0.014385153,32.701492,-117.149653
Santa Barbara,4,CO,0.006335351,34.427775,-119.691218
Santa Clara,4,CO,0.015957174,37.348497,-121.894898
Solano,4,CO,0.014306122,38.102507,-122.237976
