Million tonnes carbon dioxide,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2016,2005-15,2016
US,3631.2,3836.7,3938.3,4169.5,4354.3,4488.4,4531.6,4759.3,4962.4,4788.2,4647.5,4930.1,5087.8,5031.5,5140.8,4970.2,4807.6,4559.7,4540.0,4751.9,4765.7,4769.8,4922.9,5152.1,5249.1,5161.0,5117.5,5201.3,5318.3,5398.9,5436.1,5624.5,5714.7,5747.9,5793.5,5976.0,5863.6,5897.1,5968.6,6071.1,6108.2,6029.2,6132.4,5954.1,5529.8,5754.6,5617.3,5406.0,5544.3,5599.9,5445.0,5350.4,--2.0%,--1.1%,16.0%
Canada,264.2,275.8,289.9,312.9,325.5,350.7,358.1,375.4,395.0,401.5,398.5,417.3,442.0,427.7,434.9,444.2,424.5,412.3,393.5,414.5,410.2,399.5,413.0,444.4,464.7,459.7,441.3,453.8,448.7,464.3,478.7,493.7,506.2,515.0,518.3,541.2,540.2,548.6,571.3,563.1,569.5,556.6,567.2,565.5,525.0,544.5,550.8,536.0,548.2,545.5,531.6,527.4,--1.1%,--0.7%,1.6%
Mexico,61.7,64.2,65.4,71.1,78.0,82.9,87.8,97.3,104.8,118.9,130.3,138.4,146.0,166.0,181.9,199.2,212.2,223.4,219.9,230.3,237.5,232.4,241.5,242.1,253.9,268.8,279.2,282.2,286.6,312.8,296.1,310.4,329.4,350.2,347.7,367.8,369.1,387.9,391.9,408.5,439.3,450.5,445.5,447.9,451.6,459.7,482.1,491.8,490.0,481.6,481.4,470.3,--2.6%,0.9%,1.4%
Total North America,3957.0,4176.7,4293.6,4553.4,4757.8,4922.0,4977.5,5231.9,5462.2,5308.5,5176.4,5485.8,5675.7,5625.2,5757.6,5613.6,5444.3,5195.4,5153.3,5396.7,5413.5,5401.7,5577.3,5838.5,5967.8,5889.5,5837.9,5937.4,6053.6,6176.1,6210.8,6428.6,6550.4,6613.0,6659.6,6885.0,6772.9,6833.6,6931.8,7042.7,7116.9,7036.2,7145.1,6967.5,6506.3,6758.9,6650.2,6433.8,6582.4,6627.0,6458.1,6348.0,--2.0%,--1.0%,19.0%
Argentina,78.1,81.1,83.0,84.9,87.9,81.2,85.2,87.3,90.0,90.8,88.8,92.6,96.3,96.6,101.5,99.1,94.2,93.2,96.4,93.3,88.3,104.4,109.5,114.7,111.7,105.3,108.8,112.6,110.9,113.3,116.1,123.8,124.3,127.5,128.9,132.5,123.7,118.5,126.7,136.5,145.0,150.3,162.9,166.1,159.2,172.7,176.5,182.3,188.4,189.3,193.4,194.3,0.2%,2.9%,0.6%
Brazil,51.5,56.1,58.0,68.1,74.3,84.1,92.5,104.1,124.3,134.1,140.1,150.5,157.0,169.5,177.8,176.9,168.5,168.8,163.6,170.2,177.7,192.0,197.8,201.9,205.8,197.2,206.5,216.8,227.8,237.8,252.1,271.6,284.8,294.9,298.2,302.5,311.7,311.7,309.1,324.2,331.3,336.9,351.4,374.9,352.1,400.3,426.4,447.3,486.6,508.3,491.3,458.0,--7.0%,4.0%,1.4%
Chile,16.8,18.0,18.3,18.8,19.9,21.0,22.5,22.5,21.7,20.8,18.0,19.0,19.6,20.9,21.6,22.2,22.6,19.3,19.5,20.7,20.4,21.0,21.7,25.7,31.0,31.8,32.5,33.2,35.4,38.6,42.1,47.5,54.7,55.9,57.8,55.6,52.8,54.3,54.1,58.9,60.3,64.4,75.9,77.0,73.9,75.1,85.9,88.4,90.1,90.6,91.0,95.9,5.1%,4.2%,0.3%
Colombia,21.5,23.2,24.6,25.4,25.5,27.9,26.2,29.3,28.6,32.3,32.7,33.8,34.5,35.8,37.6,37.4,38.5,40.0,42.5,42.7,44.0,43.7,48.2,46.4,48.8,42.0,44.6,52.7,55.3,58.3,58.8,57.5,62.5,63.3,55.0,55.9,54.0,51.6,53.4,53.0,52.0,62.1,60.8,70.5,66.3,73.7,72.2,81.1,83.1,88.7,91.1,89.0,--2.6%,5.8%,0.3%
Ecuador,2.1,2.2,2.3,2.8,2.9,3.5,3.8,3.8,4.3,4.8,4.8,5.6,6.8,6.9,7.3,9.1,10.0,10.9,10.1,10.6,12.8,13.0,13.1,12.6,13.0,13.2,15.0,14.6,15.3,16.5,15.9,18.0,20.5,20.9,19.0,20.3,20.0,21.2,21.6,22.7,24.8,26.3,26.8,27.3,27.7,31.9,32.7,34.0,36.2,38.1,37.3,35.0,--6.4%,4.2%,0.1%
Peru,12.2,15.1,15.1,15.3,15.3,16.0,16.0,13.9,16.0,18.7,19.7,19.9,20.0,19.8,20.5,22.1,22.7,22.6,19.2,20.0,19.1,20.5,22.6,22.2,19.8,19.6,18.6,19.2,20.0,21.6,24.2,25.3,24.6,25.2,25.5,25.7,24.2,25.0,24.2,27.5,28.4,27.5,31.1,34.8,34.7,38.8,42.9,44.2,45.4,46.7,49.2,53.1,7.6%,5.6%,0.2%
Trinidad & Tobago,7.8,8.1,8.6,8.9,9.2,9.7,9.9,14.3,14.2,13.3,10.2,11.7,11.7,11.0,9.1,8.6,9.6,9.9,9.0,8.1,8.4,9.1,8.0,8.3,8.0,9.6,9.5,11.0,11.2,10.7,11.8,12.4,11.4,10.8,12.9,13.5,14.7,16.7,18.5,19.5,19.7,24.8,27.5,27.8,26.5,28.3,28.3,27.6,29.0,28.3,28.4,25.8,--9.4%,3.7%,0.1%
Venezuela,42.8,43.1,45.0,47.9,48.0,48.3,48.5,51.3,58.4,59.5,61.4,64.6,72.2,73.5,81.3,93.4,97.2,97.8,96.3,96.2,97.7,103.2,98.8,101.2,103.6,109.1,103.1,113.7,110.7,119.0,123.2,115.0,121.9,131.5,126.2,127.3,139.5,141.8,122.9,136.3,142.8,161.4,165.3,173.8,171.1,171.3,166.3,177.7,175.1,166.6,164.0,161.0,--2.1%,1.4%,0.5%
Other S. & Cent. America,63.9,67.2,70.7,72.5,77.5,82.1,108.7,114.1,122.7,120.2,118.9,122.9,126.9,132.3,138.6,147.8,149.2,136.5,131.4,131.7,122.5,124.3,130.6,128.3,135.1,136.4,134.5,136.9,140.2,150.3,154.7,156.5,168.2,177.4,180.5,182.8,196.2,194.6,207.5,214.2,214.8,221.4,224.7,215.9,214.9,218.2,225.0,223.6,220.3,223.4,232.1,236.1,1.4%,0.8%,0.7%
Total S. & Cent. America,296.7,314.0,325.7,344.6,360.5,373.9,413.3,440.6,480.2,494.5,494.6,520.8,545.1,566.3,595.3,616.7,612.5,599.0,588.0,593.6,590.7,631.1,650.2,661.3,676.8,664.2,673.2,710.8,726.8,766.0,799.0,827.5,872.9,907.4,904.1,916.0,936.7,935.4,938.1,992.8,1019.3,1075.0,1126.6,1168.2,1126.5,1210.3,1256.3,1306.2,1354.3,1380.1,1377.9,1348.2,--2.4%,3.1%,4.0%
Austria,39.8,40.1,40.4,43.3,46.4,51.2,53.9,55.1,58.5,55.9,53.9,58.8,54.6,56.8,59.4,57.9,54.4,51.8,51.0,52.7,53.9,53.6,54.3,52.6,52.9,56.9,61.0,56.7,56.5,56.8,61.0,62.8,63.1,63.2,62.9,62.9,67.8,68.7,74.8,73.5,75.6,73.7,69.8,70.3,64.4,69.7,67.0,64.3,64.5,60.1,62.2,63.2,1.3%,--1.9%,0.2%
