Country or Area,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
Bosnia and Herzegovina,4264.95373288177,4851.76179516914,4748.19762607199,4494.61139157032,4861.00072689848,4475.27128045253,4586.23519342369,4974.67848199431,4107.98883651433,3352.02362207507,2928.22259570009,2721.51079559248,2282.88765627598,1811.21333447378,1565.03889932686,1501.29814602861,1269.72680741859,1148.6377217492,1026.618794137,741.54568445832,524.360997250942,706.064156855615,876.726553344603,1100.77878721345,1378.05829197382,1713.00338723546,,,,,,,,,,,,,,,,,,,,
Botswana,6360.61981004054,7149.63580419474,6800.24985307902,6885.80594109635,7426.41501121913,6245.77185169494,5176.84827669438,5561.9335468501,5666.62011962797,5342.16669873908,5327.9148059297,4879.48333832561,4149.01116572994,3044.12415635337,3114.64022296409,3333.16920523004,3210.23517789821,2854.6869123537,3050.26422173703,3007.61663867543,3001.09541368932,2767.30683851207,2721.09662640789,2786.24675612944,2723.34015565893,2696.94620824261,2254.18413330249,1375.28075183899,1223.10745843664,916.173276522281,708.05800946313,847.23426601079,836.77250801984,797.659265955147,943.154924098617,855.562451929478,619.562563777109,493.783490703135,431.216265209509,347.78901714835,333.43241016412,297.172277601391,221.430470688388,155.04262756252,123.094390114876,96.3857241801225
Brazil,8528.32505114074,11729.0367772011,12071.838728382,12157.5061343514,13038.8975126772,11121.2492340588,8474.76001066226,8706.97765961274,7247.02502078521,5808.26915662831,4730.67392775799,3596.07995316905,3043.78503692426,2828.18336891925,3142.85770539841,3711.09448961929,3430.9030716687,5007.23065171774,5250.4152735563,5139.78280718468,4780.51404568429,3622.19221460112,2578.60638970689,2333.94528081524,2475.73324892898,2705.55561412838,2540.4622222671,1901.76888235216,1734.98411171372,1613.37839575652,1369.71005590406,1310.2353661502,1300.56060117515,1864.69820406804,1802.91280181533,1564.03634289453,1559.35202601924,1448.55603804174,1306.7002816306,1150.0350849448,996.496628026988,868.126531742266,693.690761535277,501.999571794837,399.705165004135,366.878074785562
British Virgin Islands,30144.4843775941,30501.4759844516,31509.429417028,31894.8826768616,32824.48219021,32839.8780443008,33119.0926275992,38743.9462583971,40873.2565191025,39401.0373096871,37550.1748025379,33099.6539178277,32363.6363636364,36507.1992568509,38412.2919334187,36380.3710700964,33339.938571287,30467.4034269492,27088.7389724961,23839.8640756079,21546.8113975577,17000.7201817074,13342.3728813559,10151.0695958023,8099.42728936648,8893.69986025882,9826.37141419225,8590.89420242385,7993.14833847208,7021.2460522538,6753.83228133454,6779.79417079111,6444.38976377953,5951.34443021767,5234.18168964298,4923.20276288285,4022.98850574713,3262.68404764138,2826.53831634579,2747.43844840668,2536.68232149675,2330.39730250482,1971.3452206957,1765.26093827161,1717.30283880028,2022.83462558661
Brunei Darussalam,30552.659474689,41021.9667994711,43971.3167597486,46973.808638099,46376.5562894101,34851.3769806414,30723.1256511043,41883.6356686756,36240.6939801169,34523.5760515279,29183.7898044715,24522.8214278739,20786.0815342753,18855.7179425789,18411.9834302336,20116.8616686957,15739.0668147207,14161.9454230326,18589.834967267,18740.95947607,17780.4862111323,15757.4001038642,16264.4098646293,17047.5148013514,15513.0371423489,15181.4337589832,13246.8362182048,12150.0018396269,13135.5648855765,11762.1846098387,19840.9030087536,21903.9722066538,22892.5251760369,26117.8958885061,27538.5057301099,32065.6159083139,18853.4732309525,13521.2055284396,12519.7996037392,10684.3456160798,9125.48736993691,8733.52115897184,3673.74422593736,2398.18219720898,1827.99953450389,1733.76748178464
Bulgaria,6846.77167020133,7876.02695224599,7670.08871953362,7335.26980366324,7742.99572700273,6741.92621392871,6941.46987779258,7275.55721080189,5914.63152395667,4499.26973265585,3881.6255825865,3370.18611530299,2700.14660201414,2079.08066755628,1781.52847782737,1643.42698083235,1674.23406952428,1799.28480932832,1365.35045779132,1221.80732106296,1726.92139197875,1265.10951621564,1395.07603461026,1095.05856184826,960.775443753595,2349.5937640123,2476.99141150599,2454.24645164646,2131.318673458,1956.77800047143,1839.89518499694,1737.4227999736,1625.56574174699,1515.75935560726,1398.63050156515,1223.04845757781,1064.26832005437,1586.02612741332,1468.51281005814,1441.00754791193,1364.48726063513,1553.25407576893,1435.43604838155,1210.59130043932,1041.02418388154,1059.47604291494
Burkina Faso,611.132876944978,716.132437153801,699.357547740719,673.026894725074,665.807558384423,574.457935110229,551.843274490653,569.014496840026,474.710570784614,420.429960023884,406.998804328341,371.395189597262,332.423760748434,260.808432684229,237.292687379622,226.801584114402,267.007222891282,258.334476015387,231.843733216436,251.918411397194,238.253063337097,195.062252920518,338.39488557936,364.767356302678,349.968845851196,355.612641338313,307.993219296147,316.291028313694,294.119261442215,259.411190004031,202.9685264887,178.203871136876,204.511968345992,229.546335630096,256.469155887478,283.337384872667,267.136185176065,203.369882318091,161.058754993517,135.951090400959,144.53575004484,123.803701555107,114.47735678462,100.713245690045,80.276639266609,80.0221281964679
Burundi,244.615216124977,258.715970097545,234.247491046551,229.876617284735,228.373686879407,214.788083844868,194.302540342386,182.710645236344,159.279694988559,154.948190809818,140.796961221074,88.7392182544128,80.4572401049608,87.7246856994289,95.3465446133233,104.788767122109,122.008708870139,137.239832030411,151.525557348668,137.202575127814,160.350313671353,174.244198197599,161.939190700572,183.926905952688,202.222053860005,204.100824384631,206.980648954461,205.630023315729,226.944867151397,249.316483417283,244.734136480066,217.06762625251,246.155315191844,239.281004783379,233.704934431919,229.968373871426,196.815916968219,156.256095441299,141.675275201197,121.843990989164,112.567005241039,95.359702385349,85.0640734401134,69.2860405974787,71.8238225863556,70.8293939615406
Cabo Verde,3080.18474551164,3661.17589847041,3648.93632130081,3497.68316230749,3766.11147327182,3393.93903019481,3517.38341749513,3698.30351115677,3145.66103794807,2634.44773749006,2330.95337936772,2241.4258542874,2000.74175819805,1550.76718609437,1431.31357006805,1397.74950904944,1580.067285246,1423.80955541632,1369.1019952546,1437.17992332391,1433.7528318192,1228.18802328732,1116.04032128825,1137.19685461427,1045.40850757981,1026.59616046747,912.482951734855,917.645760315703,828.981097544455,679.607988069779,499.042314475435,487.224868280755,521.297461348642,540.27951679656,546.176719546322,566.436397560664,514.044194650499,485.312414062697,425.712644354256,456.873715511412,491.480846296455,422.274135549505,420.401438776988,339.92857236723,301.347889518377,269.953603372864
Cambodia,1158.68990352486,1089.6700578864,1012.60949408807,947.559438094416,879.15136699763,782.693041888966,735.406975758436,742.943187939254,629.283228737313,537.841648518811,472.449013285857,407.089220164443,361.585990597558,338.228032165803,320.654928453965,300.595681533763,294.49093565563,268.872233187929,303.691058421629,318.151568242142,309.445854283988,258.437816968022,243.2131584493,247.809760004188,241.131300062359,188.450070465299,199.659973029477,198.521427551578,169.867112209836,140.355325123646,136.771906475478,131.160563730203,125.388866046932,119.683022900434,115.526912928198,106.505366474954,102.39226923131,105.593399417462,95.3938712790948,102.304096241969,95.4326299835447,88.4249277801389,86.5706711333711,103.321277064909,107.108503629416,109.511252764201
Cameroon,1217.26161463687,1407.40354739718,1331.19992054227,1222.19205625573,1258.9246130723,1147.24229681565,1164.71727717533,1191.70967263001,1070.95471352905,965.368670537813,915.091213362733,892.898761929988,791.106456522988,648.399602025275,589.203913789979,583.094859096402,645.994203792928,650.475497526833,620.18570734171,666.825425127579,639.833689135262,525.134580709106,931.499110633163,906.502347365877,915.584579899657,981.388008536758,864.453525836953,966.550300877213,1019.16919828609,963.837585011925,812.617691898671,852.344848642244,891.854732312446,880.869989879134,904.591871973857,992.906418593626,820.416291570347,634.661682361746,496.140108040977,436.332792336019,411.799359407186,322.303560476541,310.076738066333,234.484140090445,186.621172517364,170.820776626388
Canada,43205.6429056011,50379.1630406635,52301.8741418573,52319.6299524906,51844.9803113279,47279.35511816,40630.8784650622,46430.5143629292,44417.1400183715,40337.3134617419,36253.1402249146,32055.9644319383,28243.9240089415,24224.2382937097,23761.4219062722,24177.278197179,22224.3078324771,20959.5588110305,21854.490845211,21241.6615056803,20615.1676857887,19938.1500936602,20124.2602921001,20892.2450804055,21786.1456076069,21471.0732960861,20700.7993106393,18847.291403768,16250.4619657678,14416.2941448873,14111.6724832706,13911.0415132096,13474.7652418946,12531.1498880072,12362.9782309669,11170.3496076867,10020.2400435499,9111.82050991751,8920.24454150559,8812.74981972272,7512.38443097479,7028.05587046532,5839.54567941496,5106.99230161637,4555.8164722286,4099.72543403905
Cayman Islands,62131.9549329367,61681.3942982261,59586.2467088067,59283.367243193,59189.9065455228,58856.7044071821,61473.8130147586,67032.5939921972,68298.8563220045,64104.7622957582,62558.129269187,56274.4137528063,54893.04501535,54459.0432351269,53934.773977201,54632.6366089919,54735.2906216448,53251.3922753481,43032.5850715281,41941.0041319903,40929.646226794,39938.1346119628,38587.825522599,37558.5219003893,37040.3170064094,37182.0437899529,31420.7162220019,28949.5426858999,25033.4233292106,22566.4478139791,21541.9604262587,20738.9057762591,19094.8350368513,14135.8670500578,12245.7864169611,10665.6447372056,9355.37916420854,8261.37241872318,7336.82878021863,6537.36759844293,5830.05927526184,5203.33321582146,4749.09941670017,3872.19251902058,3080.12709852237,2577.91485790303
Central African Republic,333.188549959116,365.404443115084,332.32764442251,484.19742253692,500.110356590249,457.553715646689,465.305029457662,474.991010433916,417.630937696136,372.537208931847,348.358545087851,333.226244154307,303.957197627506,268.740093487286,256.930271119107,256.795428971055,286.245287131047,282.948861505393,280.495809668569,308.572132286899,349.843069068925,273.711571322024,421.961381813371,478.215306846085,478.630660136719,513.099888491254,449.685142974988,471.025882681829,456.746944303483,436.298021397482,344.399420428376,321.96192773138,345.986064298833,405.144528723983,444.023042628994,511.47264971389,461.91603066752,412.730701019084,351.118088049738,319.356288087683,273.910315297044,207.820614161744,204.264804433152,176.831676018445,157.64971335461,150.906559929093
Chad,713.049250814551,941.585703599031,904.828963059272,893.600917115285,908.072986070844,823.034282539112,812.079324344854,930.704082797785,779.016619808913,715.024019379165,663.553923768636,517.136847441629,331.093291011962,251.104500171143,224.470783694908,188.865556729366,216.208054034548,257.640966251805,234.158299582638,253.697106449071,234.699022086992,198.119634382321,252.276873649512,298.589433206065,295.88110808999,307.765830923312,263.963698943542,288.488747283662,254.976953114549,231.656080823971,193.787712825565,201.760379280236,192.093688519885,183.802013344784,201.054362878261,174.851908388471,173.508487873865,196.218732615039,167.925856753842,169.255365672972,183.980821403366,130.158871816358,114.343083602115,105.603199500321,104.03697177487,97.478863108492
