reportingarea, prediction, x, y
Central LA CO, 50.2464589235127, -118.2266, 34.0663
E San Fernando Vly, 38.4441260744986, -118.3169, 34.1758
E San Gabriel V-2, 35.6566091954023, -117.85, 34.1444
NW Coastal LA, 42.8238805970149, -118.4566, 34.0505
SW Coastal LA, 42.8238805970149, -118.4302, 33.9541
SW San Bernardino, 37.8839285714286, -117.6585, 34.0017
San Gabriel Mts, 38.3696883852691, -118.1152, 34.3927
Santa Clarita Vly, 28.9022988505747, -118.5283, 34.3833
South Coastal LA, 42.8238805970149, -118.1886, 33.8236
Southeast LA CO, 34.3611898016997, -118.0916, 33.9345
W San Fernando Vly, 38.4441260744986, -118.5327, 34.1991
W San Gabriel Vly, 38.2457142857143, -118.1272, 34.1327
