reportingarea, prediction, x, y
Central LA CO, 51.9886363636364, -118.2266, 34.0663
E San Fernando Vly, 44.6322629969419, -118.3169, 34.1758
E San Gabriel V-2, 34.6579352850539, -117.85, 34.1444
NW Coastal LA, 37.6537842190016, -118.4566, 34.0505
SW Coastal LA, 37.6537842190016, -118.4302, 33.9541
SW San Bernardino, 48.7101226993865, -117.6585, 34.0017
San Gabriel Mts, 38.0916666666667, -118.1152, 34.3927
Santa Clarita Vly, 27.7841091492777, -118.5283, 34.3833
South Coastal LA, 37.6537842190016, -118.1886, 33.8236
Southeast LA CO, 37.8650306748466, -118.0916, 33.9345
W San Fernando Vly, 44.6322629969419, -118.5327, 34.1991
W San Gabriel Vly, 39.1330203442879, -118.1272, 34.1327
