reportingarea, prediction, x, y
Central LA CO, 60.0856164383562, -118.2266, 34.0663
E San Fernando Vly, 51.1572413793103, -118.3169, 34.1758
E San Gabriel V-2, 27.9415841584158, -117.85, 34.1444
NW Coastal LA, 47.2945508100147, -118.4566, 34.0505
SW Coastal LA, 47.2945508100147, -118.4302, 33.9541
SW San Bernardino, 44.2265840220386, -117.6585, 34.0017
San Gabriel Mts, 29.2940226171244, -118.1152, 34.3927
Santa Clarita Vly, 19.0761821366025, -118.5283, 34.3833
South Coastal LA, 47.2974963181149, -118.1886, 33.8236
Southeast LA CO, 39.1949035812672, -118.0916, 33.9345
W San Fernando Vly, 51.1510344827586, -118.5327, 34.1991
W San Gabriel Vly, 40.8361801242236, -118.1272, 34.1327
