reportingarea, prediction, x, y
Central LA CO, 66, -118.2266, 34.0663
E San Fernando Vly, 59.355871886121, -118.3169, 34.1758
E San Gabriel V-2, 28.7085714285714, -117.85, 34.1444
NW Coastal LA, 46.2805907172996, -118.4566, 34.0505
SW Coastal LA, 46.2891949152542, -118.4302, 33.9541
SW San Bernardino, 49.9148936170213, -117.6585, 34.0017
San Gabriel Mts, 34.9393939393939, -118.1152, 34.3927
Santa Clarita Vly, 28.6657754010695, -118.5283, 34.3833
South Coastal LA, 46.2658227848101, -118.1886, 33.8236
Southeast LA CO, 46.8501773049645, -118.0916, 33.9345
W San Fernando Vly, 59.3801431127013, -118.5327, 34.1991
W San Gabriel Vly, 50.99375, -118.1272, 34.1327
