reportingarea, prediction, x, y
Central LA CO, 61.7955163043478, -118.2266, 34.0663
E San Fernando Vly, 58.5400552486188, -118.3169, 34.1758
E San Gabriel V-2, 48.3063623789765, -117.85, 34.1444
NW Coastal LA, 46.9737569060773, -118.4566, 34.0505
SW Coastal LA, 46.9737569060773, -118.4302, 33.9541
SW San Bernardino, 55.7681755829904, -117.6585, 34.0017
San Gabriel Mts, 49.8451086956522, -118.1152, 34.3927
Santa Clarita Vly, 37.146492434663, -118.5283, 34.3833
South Coastal LA, 46.9737569060773, -118.1886, 33.8236
Southeast LA CO, 40.0895316804408, -118.0916, 33.9345
W San Fernando Vly, 58.5400552486188, -118.5327, 34.1991
W San Gabriel Vly, 53.3541953232462, -118.1272, 34.1327
