reportingarea, prediction, x, y
Central LA CO, 55.1898280802292, -118.2266, 34.0663
E San Fernando Vly, 49.4745269286754, -118.3169, 34.1758
E San Gabriel V-2, 43.2769347496206, -117.85, 34.1444
NW Coastal LA, 45.4828150572831, -118.4566, 34.0505
SW Coastal LA, 45.5220949263502, -118.4302, 33.9541
SW San Bernardino, 51.2219020172911, -117.6585, 34.0017
San Gabriel Mts, 46.4340974212034, -118.1152, 34.3927
Santa Clarita Vly, 35.6577809798271, -118.5283, 34.3833
South Coastal LA, 45.4828150572831, -118.1886, 33.8236
Southeast LA CO, 40.3652737752161, -118.0916, 33.9345
W San Fernando Vly, 49.4788937409025, -118.5327, 34.1991
W San Gabriel Vly, 40.7806637806638, -118.1272, 34.1327
