County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,4,NO2,0.141220402,37.687526,-121.784217
Contra Costa,4,NO2,0.084129174,37.936013,-122.026154
Fresno,4,NO2,0.140082062,36.705506,-119.741966
Humboldt,4,NO2,0.022634941,40.776944,-124.1775
Imperial,4,NO2,0.114778042,32.676186,-115.484144
Los Angeles,4,NO2,0.196159889,34.1365,-117.92391
Orange,4,NO2,0.205052997,33.83062,-117.93845
Riverside,4,NO2,0.111106104,33.447867,-117.088649
Sacramento,4,NO2,0.094814078,38.71209,-121.38109
San Bernardino,4,NO2,0.204377531,34.895007,-117.024484
San Diego,4,NO2,0.121551614,32.631231,-117.059075
Santa Barbara,4,NO2,0.038302085,34.46245,-120.02551
Santa Clara,4,NO2,0.171876153,37.348497,-121.894898
Solano,4,NO2,0.108896667,38.102507,-122.237976
