County,Season,Pollutant,Sample,Latitude,Longitude
Alameda,1,NO2,0.142600048,37.687526,-121.784217
Contra Costa,1,NO2,0.077161051,37.936013,-122.026154
Fresno,1,NO2,0.107902275,36.705506,-119.741966
Humboldt,1,NO2,0.020279969,40.776944,-124.1775
Imperial,1,NO2,0.109272925,32.676186,-115.484144
Los Angeles,1,NO2,0.188594161,34.1365,-117.92391
Orange,1,NO2,0.207662805,33.83062,-117.93845
Riverside,1,NO2,0.1078266,33.447867,-117.088649
Sacramento,1,NO2,0.080624966,38.71209,-121.38109
San Bernardino,1,NO2,0.210747537,34.895007,-117.024484
San Diego,1,NO2,0.123535193,32.631231,-117.059075
Santa Barbara,1,NO2,0.031187337,34.46245,-120.02551
Santa Clara,1,NO2,0.161488567,37.348497,-121.894898
Solano,1,NO2,0.095085742,38.102507,-122.237976
